X,Y,latitude,longitude
38865.17182,32621.92134,1.3112936713606715,103.93094742693711
21855.4646,33439.85679,1.3186920895023937,103.77810676233345
16060.73955,36356.05166,1.3450633656855766,103.72603707765522
26515.18941,32328.43973,1.3086414066042265,103.81997684226944
38220.78033,32214.91617,1.307613085362949,103.92515712752706
25043.14948,30572.54039,1.292761566842425,103.80675002276918
38837.8916,35472.35467,1.3370719542492353,103.93070330701325
28616.50258,31065.00061,1.297215337880335,103.8388581263605
35301.14489,32749.42889,1.3124478544066782,103.89892296090551
35326.10155,31599.39306,1.3020473367216938,103.89914693788752
26583.8977,31646.97436,1.302478477312923,103.82059425029259
33583.21152,32726.16605,1.3122378330000892,103.88348648409739
30335.50628,33994.51459,1.323708745828632,103.85430435136448
35337.13467,32059.33802,1.3062069115380952,103.89924618365755
36570.76593,33220.28491,1.3167057789151093,103.91033125511701
29830.45654,34057.20835,1.3242757604357758,103.84976621337196
36194.59861,31937.88906,1.3051083556105936,103.9069508642872
32048.72078,38670.40509,1.3659956507076345,103.86969912361639
20733.34161,39169.05617,1.3705046539095127,103.76802253612388
27535.30433,30963.16563,1.2962943807210399,103.829143085557
34852.09374,32478.43174,1.3099971564150632,103.89488795697198
22389.59157,35442.95414,1.3368074882920096,103.78290580001469
27737.82292,46726.30833,1.438850618050152,103.8309626637293
28795.19916,32878.20763,1.3136133390939584,103.84046383999501
28857.75629,31832.55633,1.304156835855571,103.84102591817371
36055.23493,31971.91154,1.3054160792550913,103.90569862618656
35828.19176,31457.43476,1.3007633942293795,103.90365840930494
28179.07604,43886.31692,1.413166763005585,103.83492773212708
28994.75764,28599.65406,1.2749195994698441,103.8422568371589
33447.11082,32959.78725,1.3143506442773658,103.88226359367627
28323.87304,32137.30594,1.3069128940935328,103.83622873216963
29746.01368,44282.85674,1.416752873342118,103.84900805019709
27752.9159,33290.51534,1.3173421136697323,103.83109840201483
30177.92287,33127.10229,1.315864187639011,103.85288831898313
28926.79663,34881.83545,1.3317334367114146,103.84164636915091
29145.38982,34360.94909,1.3270227175444582,103.84361053267756
28335.5601,37224.28894,1.352917766589104,103.8363338015066
30210.02696,34188.80276,1.325465828538311,103.85317686662768
36498.67849,32385.74469,1.3091585184737131,103.90968328435986
28646.81266,40583.01464,1.3832928774982773,103.8391306781766
34187.27793,31491.897,1.3010754285839163,103.88891407129847
27650.53393,38623.88524,1.3655752165925334,103.83017838583386
30322.33167,32957.59512,1.3143312141672105,103.85418589239917
27009.87631,33630.71996,1.320418788980612,103.82442180006569
29682.9951,34515.8734,1.3284237731708448,103.84844121838822
20763.8813992044,30542.6861979444,1.292490878127425,103.76829900197797
27392.57983,29950.10048,1.2871325730535357,103.82786066315089
27311.29723,33001.09163,1.3147246610956498,103.82713023870033
28390.00183,48637.15482,1.4561316182486068,103.83682314845183
33924.8347,32583.97207,1.3109518175431394,103.8865561085706
29717.94986,31678.09015,1.3027598624667631,103.84875514860207
30579.18783,31207.3751,1.2985028219827817,103.85649372859272
33039.9736,36801.86413,1.3490970849043256,103.8786058969409
36617.36234,33373.9514,1.3180954700452168,103.91074999011575
36174.99828,31951.92768,1.3052353210196597,103.90677474997362
21874.76111,30022.32884,1.2877851886300902,103.7782808224439
22129.05861,35575.58633,1.3380069167594366,103.78056473505148
28250.81655,32485.45173,1.310061402540261,103.83557228772372
21746.37493,39157.66208,1.3704018422460886,103.77712535308629
32739.5703,36308.07553,1.3446314865746567,103.87590650824981
27684.09238,33245.07207,1.3169311401521102,103.83047998792834
38524.5553555361,32845.0678082248,1.3133118447290606,103.92788690113635
35346.21872,31263.27274,1.2990075801401888,103.89932762078601
36145.50883,32778.64701,1.3127118807565035,103.90650999039265
25868.88566,33862.50137,1.3225148797359647,103.81416938672763
22087.7216,35545.76598,1.337737224141282,103.78019330373637
19101.65604,33643.10595,1.3205295250753968,103.7533623283905
30078.69052,33148.19019,1.316054906023036,103.85199666751876
25524.22059,27748.90441,1.2672256366327912,103.8110728707632
28465.73245,28681.99167,1.2756642441402442,103.83750335537557
31441.67186,32065.4218,1.3062626096410066,103.864243624939
35957.80845,31814.99768,1.3039970318987697,103.90482316417705
27917.30759,43661.50458,1.411133641647653,103.83257551614808
33678.00361,33158.57766,1.3161483920697645,103.8843383168096
37788.03892,35628.83532,1.3384874663251092,103.92126983136853
28796.34818,30601.72857,1.2930256644102605,103.84047410652697
29590.37077,31421.11991,1.300435920962913,103.84760877877534
28237.33008,37000.05083,1.3508898378396088,103.83545114005383
21269.04432,36661.97833,1.3478316751963126,103.772836764538
19785.74578,32926.28429,1.314047039950277,103.75950941788733
29353.22704,28449.82075,1.2735645462458358,103.8454778082013
28940.89079,33146.75175,1.3160419531765508,103.84177296006318
40752.47551,34861.1224,1.3315434501195962,103.94790667432078
35657.42881,32126.94842,1.3068182781037596,103.9021241923546
36562.41327,32038.79308,1.3060207956526757,103.9102558760917
34625.94568,30944.10009,1.2961212582945734,103.89285558227185
34869.94594,39185.0454,1.3706493506193353,103.89504988591193
26727.57168,30700.16925,1.2939159114307495,103.82188526541827
32448.61048,36228.81155,1.3439146959423458,103.87329204563068
28233.00537,31203.38588,1.2984668507849875,103.835412236104
33414.20784,38766.08932,1.3668607660545191,103.88196898014604
28536.18904,30734.13131,1.2942230737788512,103.8381364682086
21534.6969,33387.39567,1.318217583885507,103.77522451123171
29520.85307,33490.38374,1.3191496161964062,103.84698423211965
25530.65693,33801.26167,1.321961024098822,103.81113022730665
37205.53765,32509.78596,1.3102801000787647,103.91603478566996
